OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
1446,52838,52838050,NARIÑO,TÚQUERRES,PINZON,2009,EOT,VEREDA CON CENTRO POBLADO,NULL,30.85041803,52,309516.34173584,2928.35889018178
1447,52838,52838034,NARIÑO,TÚQUERRES,LA LIBERTAD,2009,EOT,NULL,NULL,14.20562823,52,142523.720581055,1972.59467891558
1448,52838,52838053,NARIÑO,TÚQUERRES,PUENTE ALTO,2009,EOT,NULL,NULL,21.56296113,52,216341.773376465,2151.53271290489
1449,52838,52838044,NARIÑO,TÚQUERRES,MUERCHAG,2009,EOT,NULL,NULL,47.23156305,52,473865.679016113,3365.1607609873
1450,52838,52838025,NARIÑO,TÚQUERRES,IGUA,2009,EOT,NULL,NULL,221.76912322,52,2224956.44769287,6525.81381615734
1451,52693,52693016,NARIÑO,SAN PABLO,EL AGRADO,2005,POT,NULL,NULL,1027.24634182,52,10324708.5155029,13838.802642234
1452,52693,52693044,NARIÑO,SAN PABLO,RAMAL ALTO,2005,POT,NULL,NULL,229.28740142,52,2304612.07104492,6419.5219899291
1453,73226,73226021,TOLIMA,CUNDAY,GABERALES,2006,CATASTRO IGAC,NULL,NULL,606.25810813,73,6130547.68432617,11937.2366258809
1454,73226,73226010,TOLIMA,CUNDAY,CHICALA,2006,CATASTRO IGAC,NULL,NULL,239.26393434,73,2419247.41357422,9390.92740353707
1455,73226,73226053,TOLIMA,CUNDAY,TORRES,2006,CATASTRO IGAC,NULL,NULL,272.73074426,73,2757527.74267578,8459.2645020234
1456,52838,52838047,NARIÑO,TÚQUERRES,OLAYA,2009,EOT,NULL,NULL,389.39546122,52,3906501.87835693,12057.1163047623
1457,52838,52838069,NARIÑO,TÚQUERRES,SANTA ROSA,2009,EOT,NULL,NULL,298.56975719,52,2995432.55383301,9550.17556808311
1458,52838,52838064,NARIÑO,TÚQUERRES,SAN ROQUE  ALTO,2009,EOT,NULL,NULL,393.37009343,52,3946065.63781738,10463.4797833663
1459,52693,52693011,NARIÑO,SAN PABLO,CANTARRANO,2005,POT,NULL,NULL,37.78844076,52,379737.510009766,2976.56936698371
1460,52693,52693041,NARIÑO,SAN PABLO,PLAYA ALTA,2005,POT,NULL,NULL,98.12878515,52,986107.008911133,4608.1914259321
1461,52693,52693030,NARIÑO,SAN PABLO,LA ELVIRA,2005,POT,NULL,NULL,20.0266787,52,201247.584350586,1811.10410566701
1462,52693,52693037,NARIÑO,SAN PABLO,LOS LLANOS,2005,POT,NULL,NULL,135.27255021,52,1359334.74499512,6234.67137028891
